BFILE,System.Byte[],0,:GetOracleBinary:.Value,Base64,101,BFile
BINARY_DOUBLE,System.Double,1,:GetDouble:,Number,132,BinaryDouble
BINARY_FLOAT,System.Single,1,:GetFloat:,Number,133,BinaryFloat
BLOB,System.Byte[],0,:GetOracleBinary:.Value,Base64,102,Blob
CHAR,System.String,0,:GetString:,String,104,Char
CHAR VARYING,System.String,0,:GetString:,String,126,Varchar2
CHARACTER,System.String,0,:GetString:,String,104,Char
CHARACTER VARYING,System.String,0,:GetString:,String,126,Varchar2
CLOB,System.String,0,:GetString:,String,105,Clob
DATE,System.DateTime,1,:GetDateTime:,Time,106,Date
DEC,System.Decimal,1,:GetDecimal:,Number,107,Decimal
DECIMAL,System.Decimal,1,:GetDecimal:,Number,107,Decimal
DOUBLE PRECISION,System.Decimal,1,:GetDecimal:,Number,107,Decimal
FLOAT,System.Decimal,1,:GetDecimal:,Number,107,Decimal
INT,System.Decimal,1,:GetDecimal:,Number,107,Decimal
INTEGER,System.Decimal,1,:GetDecimal:,Number,107,Decimal
INTERVAL DAY,System.TimeSpan,1,:GetTimeSpan:,Time,114,IntervalDS
INTERVAL YEAR,System.Int64,1,:GetInt64:,Number,115,IntervalYM
LONG,System.String,0,:GetString:,String,109,Long
LONG RAW,System.String,0,:GetString:,String,109,Long
LONG VARCHAR,System.String,0,:GetString:,String,109,Long
NATIONAL CHAR,System.String,0,:GetString:,String,117,NChar
NATIONAL CHAR VARYING,System.String,0,:GetString:,String,119,NVarchar2
NATIONAL CHARACTER,System.String,0,:GetString:,String,117,NChar
NATIONAL CHARACTER VARYING,System.String,0,:GetString:,String,119,NChar
NCHAR,System.String,0,:GetString:,String,117,NChar
NCHAR VARYING,System.String,0,:GetString:,String,119,NChar
NCLOB,System.String,0,:GetString:,String,116,NClob
NUMBER,System.Decimal,1,:GetDecimal:,Number,107,Decimal
NUMERIC,System.Decimal,1,:GetDecimal:,Number,107,Decimal
NVARCHAR2,System.String,0,:GetString:,String,119,NChar
RAW,System.Byte[],0,:GetOracleBinary:.Value,Base64,120,Raw
REAL,System.Decimal,1,:GetDecimal:,Number,107,Decimal
ROWID,System.String,0,:GetString:,String,126,Varchar2
SMALLINT,System.Decimal,1,:GetDecimal:,Number,107,Decimal
TIMESTAMP,System.DateTime,1,:GetDateTime:,Time,123,TimeStamp
UROWID,System.String,0,:GetString:,String,126,Varchar2
VARCHAR,System.String,0,:GetString:,String,126,Varchar2
VARCHAR2,System.String,0,:GetString:,String,126,Varchar2
