bit,NpgsqlTypes.BitString,0,:GetBitString:,Object,25,Bit
boolean,System.Boolean,1,:GetBoolean:,Bool,2,Boolean
bool,System.Boolean,1,:GetBoolean:,Bool,2,Boolean
box,NpgsqlTypes.NpgsqlBox,1,(NpgsqlTypes.NpgsqlBox):GetValue:,Object,3,Box
bytea,System.Byte[],0,(byte[]):GetValue:,Base64,4,Bytea
character,System.String,0,:GetString:,String,6,Char
bpchar,System.String,0,:GetString:,String,6,Char
cidr,System.String,0,:GetString:,String,6,Char
circle,NpgsqlTypes.NpgsqlCircle,1,(NpgsqlTypes.NpgsqlCircle):GetValue:,Object,5,Circle
date,System.DateTime,1,:GetDateTime:,Time,7,Date
numeric,System.Decimal,1,:GetDecimal:,Number,13,Numeric
decimal,System.Decimal,1,:GetDecimal:,Number,13,Numeric
real,System.Single,1,:GetFloat:,Number,17,Real
float4,System.Single,1,:GetFloat:,Number,17,Real
double precision,System.Double,1,:GetDouble:,Number,8,Double
float8,System.Double,1,:GetDouble:,Number,8,Double
inet,System.Net.IPAddress,0,(System.Net.IPAddress):GetValue:,Object,24,Inet
smallint,System.Int16,1,:GetInt16:,Number,18,Smallint
int2,System.Int16,1,:GetInt16:,Number,18,Smallint
integer,System.Int32,1,:GetInt32:,Number,9,Integer
int4,System.Int32,1,:GetInt32:,Number,9,Integer
bigint,System.Int64,1,:GetInt64:,Number,1,Bigint
int8,System.Int64,1,:GetInt64:,Number,1,Bigint
interval,System.TimeSpan,1,:GetTimeSpan:,Time,30,Interval
line,System.String,0,:GetString:,String,10,Line
lseg,NpgsqlTypes.NpgsqlLSeg,1,(NpgsqlTypes.NpgsqlLSeg):GetValue:,Object,11,LSeg
macaddr,System.Net.NetworkInformation.PhysicalAddress,0,(System.Net.NetworkInformation.PhysicalAddress):GetValue:,Object,34,MacAddr
money,System.Decimal,1,:GetDecimal:,Number,12,Money
path,NpgsqlTypes.NpgsqlPath,1,(NpgsqlTypes.NpgsqlPath):GetValue:,Object,14,Path
point,NpgsqlTypes.NpgsqlPoint,1,(NpgsqlTypes.NpgsqlPoint):GetValue:,Object,15,Point
polygon,NpgsqlTypes.NpgsqlPolygon,1,(NpgsqlTypes.NpgsqlPolygon):GetValue:,Object,16,Polygon
serial4,System.Int32,1,:GetInt32:,Number,9,Integer
serial8,System.Int64,1,:GetInt64:,Number,1,Bigint
text,System.String,0,:GetString:,String,19,Text
time without time zone,System.DateTime,1,:GetDateTime:,Time,20,Time
time,System.DateTime,1,:GetDateTime:,Time,20,Time
time with time zone,System.DateTime,1,:GetDateTime:,Time,31,TimeTZ
timetz,System.DateTime,1,:GetDateTime:,Time,31,TimeTZ
timestamp without time zone,System.DateTime,1,:GetDateTime:,Time,21,Timestamp
timestamp,System.DateTime,1,:GetDateTime:,Time,21,Timestamp
timestamp with time zone,System.DateTime,1,:GetDateTime:,Time,26,TimestampTZ
timestamptz,System.DateTime,1,:GetDateTime:,Time,26,TimestampTZ
tsquery,System.String,0,:GetString:,String,6,Char
tsvector,System.String,0,:GetString:,String,6,Char
txid_snapshot,System.String,0,:GetString:,String,6,Char
uuid,System.Guid,1,:GetGuid:,Object,27,Uuid
varbit,System.String,0,:GetString:,String,19,Text
varchar,System.String,0,:GetString:,String,22,Varchar
xml,System.String,0,:GetString:,String,28,Xml
character varying,System.String,0,:GetString:,String,19,Text
bit varying,System.String,0,:GetString:,String,19,Text
