bigint,System.Int64,1,:GetInt64:,Number,0,BigInt
binary,System.Byte[],0,:GetSqlBytes:.Value,Base64,1,Binary
bit,System.Boolean,1,:GetBoolean:,Bool,2,Bit
char,System.String,0,:GetString:,String,3,Char
date,System.DateTime,1,:GetDateTime:,Time,31,Date
datetime,System.DateTime,1,:GetDateTime:,Time,4,DateTime
datetime2,System.DateTime,1,:GetDateTime:,Time,33,DateTime2
datetimeoffset,System.DateTimeOffset,1,:GetDateTimeOffset:,Time,34,DateTimeOffset
decimal,System.Decimal,1,:GetDecimal:,Number,5,Decimal
float,System.Double,1,:GetDouble:,Number,6,Float
geography,Microsoft.SqlServer.Types.SqlGeography,0,(Microsoft.SqlServer.Types.SqlGeography):GetValue:,Object,29,Udt
geometry,Microsoft.SqlServer.Types.SqlGeometry,0,(Microsoft.SqlServer.Types.SqlGeometry):GetValue:,Object,29,Udt
hierarchyid,Microsoft.SqlServer.Types.SqlHierarchyId,1,(Microsoft.SqlServer.Types.SqlHierarchyId):GetValue:,Object,29,Udt
image,System.Byte[],0,:GetSqlBytes:.Value,Base64,7,Image
int,System.Int32,1,:GetInt32:,Number,8,Int
money,System.Decimal,1,:GetDecimal:,Number,9,Money
nchar,System.String,0,:GetString:,String,10,NChar
ntext,System.String,0,:GetString:,String,11,NText
numeric,System.Decimal,1,:GetDecimal:,Number,5,Decimal
nvarchar,System.String,0,:GetString:,String,12,NVarChar
real,System.Single,1,:GetFloat:,Number,13,Real
smalldatetime,System.DateTime,1,:GetDateTime:,Time,15,SmallDateTime
smallint,System.Int16,1,:GetInt16:,Number,16,SmallInt
smallmoney,System.Decimal,1,:GetDecimal:,Number,17,SmallMoney
sql_variant,System.Object,0,:GetValue:,Object,23,Variant
text,System.String,0,:GetString:,String,18,Text
time,System.TimeSpan,1,:GetTimeSpan:,Time,32,Time
timestamp,System.Byte[],0,:GetSqlBytes:.Value,Base64,19,Timestamp
tinyint,System.Byte,1,:GetByte:,Number,20,TinyInt
uniqueidentifier,System.Guid,1,:GetGuid:,Object,14,UniqueIdentifier
varbinary,System.Byte[],0,:GetSqlBytes:.Value,Base64,21,VarBinary
varchar,System.String,0,:GetString:,String,22,VarChar
xml,System.String,0,:GetString:,String,25,Xml
